DATE,CBBTCUSD,SP500,VIXCLS
10/03/2019,3900.93,2937.78,17.33
11/03/2019,3849.68,2976,16.27
12/03/2019,3860,2978.71,15
13/03/2019,3851.02,2978.43,15.27
14/03/2019,3853.95,2979.39,15.2
15/03/2019,3902.8,3000.93,14.61
16/03/2019,3990,3009.57,14.22
17/03/2019,3967.01,3007.39,13.74
18/03/2019,3970.5,2997.96,14.67
19/03/2019,4000.85,3005.7,14.44
20/03/2019,4031.85,3006.73,13.95
21/03/2019,3972.76,3006.79,14.05
22/03/2019,3983.78,2992.07,15.32
23/03/2019,3983.43,2991.78,14.91
24/03/2019,3969.52,2966.6,17.05
25/03/2019,3907.53,2984.87,15.96
26/03/2019,3921.45,2977.62,16.07
27/03/2019,4026.53,2961.79,17.22
28/03/2019,4011.17,2976.74,16.24
29/03/2019,4091.01,2940.25,18.56
30/03/2019,4094.14,2887.61,20.56
31/03/2019,4094.99,2910.63,19.12
01/04/2019,4137,2952.01,17.04
02/04/2019,4901.93,2938.79,17.86
03/04/2019,4975.97,2893.06,20.28
04/04/2019,4906.49,2919.4,18.64
05/04/2019,5040.66,2938.13,17.57
06/04/2019,5049.22,2970.27,15.58
07/04/2019,5194.79,2966.15,14.57
08/04/2019,5285.54,2995.68,13.54
09/04/2019,5187.21,2989.69,13.68
10/04/2019,5318.58,2997.95,13.79
11/04/2019,5041.3,2986.2,14.25
12/04/2019,5078.19,3006.72,14
13/04/2019,5066.22,2995.99,14.46
14/04/2019,5164.27,3004.52,14.01
15/04/2019,5029.99,3010.29,13.71
16/04/2019,5202.9,3022.55,12.65
17/04/2019,5227,3039.42,13.11
18/04/2019,5280.49,3036.89,13.2
19/04/2019,5290.36,3046.77,12.33
20/04/2019,5319.89,3037.56,13.22
21/04/2019,5297.64,3066.91,12.3
22/04/2019,5387.6,3078.27,12.83
23/04/2019,5532.75,3074.62,13.1
24/04/2019,5441.9,3076.78,12.62
25/04/2019,5134.81,3085.18,12.73
26/04/2019,5159.51,3093.08,12.07
27/04/2019,5170.6,3087.01,12.69
28/04/2019,5155,3091.84,12.68
29/04/2019,5148.25,3094.04,13
30/04/2019,5270.69,3096.63,13.05
01/05/2019,5321.15,3120.46,12.05
02/05/2019,5390.01,3122.03,12.46
03/05/2019,5657.4,3120.18,12.86
04/05/2019,5770.01,3108.46,12.78
05/05/2019,5715.86,3103.54,13.13
06/05/2019,5687.9,3110.29,12.34
07/05/2019,5748.45,3133.64,11.87
08/05/2019,5948.41,3140.52,11.54
09/05/2019,6153.09,3153.63,11.75
10/05/2019,6343.14,.,.
11/05/2019,7219.95,3140.98,12.62
12/05/2019,6979.76,3113.87,14.91
13/05/2019,7824.93,3093.2,15.96
14/05/2019,7990.92,3112.76,14.8
15/05/2019,8203.32,3117.43,14.52
16/05/2019,7878.96,3145.91,13.62
17/05/2019,7363.69,3135.96,15.86
18/05/2019,7262.4,3132.52,15.68
19/05/2019,8200,3141.63,14.99
20/05/2019,7999.54,3168.57,13.94
21/05/2019,7951.7,3168.8,12.63
22/05/2019,7626.48,3191.45,12.14
