Date,open,high,low,close,volume 
04/10/2013,127.0500031,127.1500015,126,126.5299988,6923700
07/10/2013,127.25,128.3300018,127.1200027,127.6399994,6732800
08/10/2013,127.7900009,128.4499969,127.2099991,127.4000015,6999700
09/10/2013,126.2099991,126.8899994,124.9700012,126.1100006,10705100
10/10/2013,125.3399963,125.8300018,124.0999985,124.2699966,10523600
11/10/2013,122.3700027,122.8099976,121.8499985,122.5999985,15972600
14/10/2013,123.9000015,124.2399979,122.8099976,122.8300018,6118200
15/10/2013,122.2799988,124.3600006,122.2200012,123.7300034,8384200
16/10/2013,123.5199966,123.8899994,122.5100021,123.5400009,8523400
17/10/2013,127.0100021,127.8600006,126.8099976,127.4199982,11785100
18/10/2013,126.8700027,127.3300018,126.5999985,126.8499985,5350500
21/10/2013,127.1299973,127.3399963,126.7900009,126.9800034,3395200
22/10/2013,128.25,129.8099976,128.2200012,129.3399963,8849000
23/10/2013,128.5500031,129.0899963,128.3500061,128.6900024,5092200
24/10/2013,129.4100037,130.5299988,129.4100037,129.8999939,10221400
25/10/2013,129.5299988,130.9199982,129.4600067,130.4600067,8767900
28/10/2013,130.4100037,131.4400024,130.1000061,130.5599976,6807800
29/10/2013,130.1600037,130.5899963,129.5700073,129.7700043,5328500
30/10/2013,130.8300018,131.2200012,128.8099976,129.6000061,8896000
31/10/2013,128.0399933,128.4900055,127.3000031,127.7399979,7753300
01/11/2013,126.8600006,127.1699982,126.0500031,126.9499969,9566200
04/11/2013,127.1800003,127.5199966,126.7399979,126.8099976,3819300
05/11/2013,126.7099991,126.8600006,126,126.5599976,4941200
06/11/2013,127.1100006,127.3600006,126.9199982,127.1999969,3544900
07/11/2013,126.1399994,126.8499985,125.8600006,126.1600037,7700100
08/11/2013,124.4599991,124.4599991,123.6200027,124.2799988,8427300
11/11/2013,123.9199982,123.9700012,123.6600037,123.8700027,3277700
12/11/2013,123.5100021,123.8700027,121.7300034,122.4499969,7705600
13/11/2013,122.9700012,123.2399979,122.3899994,122.8499985,5967000
14/11/2013,123.9199982,124.9100037,123.8799973,124.2699966,7669700
15/11/2013,124.1600037,124.5199966,124.0699997,124.3199997,4660700
18/11/2013,123.6999969,123.9599991,122.5500031,122.9000015,6241300
19/11/2013,122.9700012,123.4000015,122.8300018,122.9499969,3666500
20/11/2013,121.6699982,122.4400024,119.7600021,120.1200027,14281000
21/11/2013,119.8099976,120.3499985,119.3099976,119.9400024,7557500
22/11/2013,120.2399979,120.4000015,119.8199997,119.9199982,6774400
25/11/2013,119.1800003,121,119.1299973,120.4599991,7266300
26/11/2013,119.8399963,120.4000015,119.5899963,119.8199997,9053300
27/11/2013,120.4899979,120.6900024,119.25,119.4599991,6144600
29/11/2013,120.6699982,121.0500031,120.6200027,120.6999969,2364700
02/12/2013,119.1999969,119.2900009,117.5,117.5800018,10297100
03/12/2013,117.5800018,118.3099976,117.2300034,117.9599991,7004800
04/12/2013,118.3300018,120.7600021,118.1600037,119.9599991,9110700
05/12/2013,118.1999969,119.2399979,117.4100037,118.3000031,10254700
06/12/2013,118.8600006,119.2600021,118.0100021,118.5500031,7909500
09/12/2013,118.9899979,119.9199982,118.9499969,119.7200012,5510400
10/12/2013,122.1399994,122.3199997,121.4700012,121.8199997,9155600
11/12/2013,121.4899979,121.8099976,120.7600021,120.8600006,9934900
12/12/2013,118.6100006,118.8199997,118.0299988,118.2900009,8810800
13/12/2013,118.8899994,119.4899979,118.7600021,119.3799973,6482100
16/12/2013,119.2600021,120.7699966,118.9700012,119.6900024,8189500
17/12/2013,118.9599991,119.9000015,118.3700027,118.6500015,8589100
18/12/2013,119,120.0500031,117.2900009,117.6100006,16265000
19/12/2013,115.9700012,116.0599976,114.5,114.8199997,15955400
20/12/2013,115.3700027,116.4700012,115.0599976,115.9400024,14693700
23/12/2013,115.6100006,116.1200027,115.4300003,115.5699997,6237300
24/12/2013,115.7900009,116.2900009,115.7099991,116.0999985,3353900
26/12/2013,117.2300034,117.2300034,116.6500015,116.7399979,3868400
27/12/2013,117.3099976,117.3799973,116.8499985,117.1200027,4206200
30/12/2013,116.3700027,116.4000015,115.1800003,115.3899994,6703200
31/12/2013,114.6100006,117.1299973,114.4599991,116.1200027,12835900
02/01/2014,117.9300003,118.7300034,117.75,118,7551000
03/01/2014,118.6399994,119.6200027,118.5899963,119.2900009,5874400
06/01/2014,119.7600021,120.3899994,117.1100006,119.5,10106500
07/01/2014,118.4599991,118.9199982,118.1299973,118.8199997,6433700
08/01/2014,117.9899979,118.5199966,117.5,118.1200027,7428500
09/01/2014,118.1100006,118.6900024,117.9899979,118.4599991,3972800
10/01/2014,119.7200012,120.4300003,119.5800018,120.2600021,7993200
13/01/2014,120.2699966,121.0400009,120.1999969,121.0199966,5872700
14/01/2014,120.5400009,121.0599976,119.7200012,119.8899994,7505400
15/01/2014,119.1900024,119.8099976,119.1100006,119.6600037,5474300
16/01/2014,119.8399963,119.9599991,119.5699997,119.7900009,3949500
17/01/2014,120.3499985,121.0199966,120.1999969,120.9300003,7923400
21/01/2014,119.2300034,119.9700012,119.2300034,119.6999969,6763500
22/01/2014,119.6500015,119.7699966,119.1699982,119.1900024,4891800
23/01/2014,120.9700012,122.0199966,120.9700012,121.7900009,11028200
24/01/2014,122.0599976,122.5,121.5500031,122.2900009,8515700
27/01/2014,121.6500015,122.0599976,120.7200012,120.9599991,7528600
28/01/2014,121.3199997,121.4000015,120.4100037,120.9499969,5149500
29/01/2014,122.1900024,122.5100021,121.1299973,122.4700012,12257500
30/01/2014,119.6699982,120.2200012,119.5999985,119.7699966,8746500
31/01/2014,120.6500015,120.8600006,119.4599991,120.0899963,7983100
03/02/2014,120.4700012,122.1100006,120.3199997,121.3199997,9267300
04/02/2014,120.4100037,121.0899963,120.3899994,120.9899979,7027400
05/02/2014,121.7600021,121.8799973,120.7300034,121.2900009,6800000
06/02/2014,121.3799973,121.5100021,120.7799988,121.2399979,4745800
07/02/2014,121.2399979,122.2399979,121.2300034,122.1699982,6674700
10/02/2014,122.8000031,123.1600037,122.7200012,122.9199982,7931200
11/02/2014,123.3799973,124.75,123.3600006,124.3600006,11546000
12/02/2014,124.4000015,124.9800034,124.1299973,124.4300003,6651900
13/02/2014,124.6999969,125.5999985,124.6600037,125.4899979,9167900
14/02/2014,126.9899979,127.3799973,126.75,127.1500015,11147900
18/02/2014,127.4199982,127.75,127.0899963,127.4000015,7685800
19/02/2014,127.2600021,127.4499969,126.1600037,126.2699966,9384100
20/02/2014,126.75,127.75,126.4000015,127.5999985,10572900
21/02/2014,127.5699997,128.0700073,127.1500015,127.5800018,7298200
24/02/2014,128.5099945,129.0700073,128.3399963,128.9900055,12114200
25/02/2014,128.6199951,129.5299988,128.5700073,129.2100067,5786000
26/02/2014,128.4900055,128.7599945,127.4199982,128.1100006,7052900
27/02/2014,128.3999939,128.8000031,127.8899994,128.1999969,5066500
28/02/2014,128.2700043,128.3500061,127.1500015,127.6200027,10584100
03/03/2014,130,130.5899963,129.8099976,130.2899933,11741100
04/03/2014,128.5399933,129.2400055,128.3200073,128.6799927,6341700
05/03/2014,128.7100067,129.3399963,128.5800018,128.8899994,4878500
06/03/2014,129.7100067,130.4700012,129.4700012,130.1699982,5408900
07/03/2014,128.25,129.2299957,128.2100067,129.0899963,7575000
10/03/2014,128.8800049,129.6100006,128.7799988,129.1300049,4169900
